ID,County,City,Weekday,Severity,ViolCat,ClearWeather,Month,CrashType,Highway,Daylight
100286,LOS ANGELES,SANTA FE SPRINGS,7,1,1,1,10,F,0,1
100287,STANISLAUS,UNINCORPORATED,5,1,8,1,6,F,0,1
100288,SOLANO,BENICIA,7,1,3,1,9,F,0,1
100289,IMPERIAL,EL CENTRO,7,1,8,1,9,F,1,1
100290,SAN JOAQUIN,UNINCORPORATED,6,1,3,1,8,F,0,0
100291,KERN,UNINCORPORATED,7,1,8,1,10,F,1,0
100292,SOLANO,VACAVILLE,2,1,8,1,9,F,1,0
100293,SAN JOAQUIN,UNINCORPORATED,6,1,8,1,10,F,1,0
100294,RIVERSIDE,RIVERSIDE,7,1,8,1,11,F,1,0
100295,SAN JOAQUIN,UNINCORPORATED,1,1,1,0,11,F,0,0
100296,MENDOCINO,UNINCORPORATED,6,1,8,1,9,F,0,1
100297,YOLO,UNINCORPORATED,4,1,8,1,10,F,1,0
100298,KERN,UNINCORPORATED,3,1,8,1,10,F,1,1
100299,FRESNO,UNINCORPORATED,5,1,1,1,9,F,0,1
100300,FRESNO,UNINCORPORATED,2,1,1,1,10,F,1,0
100301,TEHAMA,UNINCORPORATED,1,1,1,0,10,F,0,0
100302,STANISLAUS,UNINCORPORATED,7,1,1,1,8,F,0,0
100303,FRESNO,UNINCORPORATED,1,1,8,1,9,F,0,1
100304,VENTURA,UNINCORPORATED,3,1,8,1,9,F,1,0
100305,SANTA CLARA,PALO ALTO,6,1,3,1,8,F,0,0
100306,MENDOCINO,UNINCORPORATED,7,1,8,1,11,F,0,0
100307,FRESNO,UNINCORPORATED,4,1,8,1,10,F,0,1
100308,KERN,UNINCORPORATED,6,1,1,1,11,F,0,0
100309,FRESNO,UNINCORPORATED,3,1,8,1,10,F,0,0
100310,MARIN,UNINCORPORATED,3,1,3,1,10,F,1,1
100311,CONTRA COSTA,UNINCORPORATED,6,1,3,1,11,F,1,0
100312,SOLANO,UNINCORPORATED,2,1,1,1,9,F,1,0
100313,FRESNO,UNINCORPORATED,6,1,1,1,10,F,1,0
100314,SACRAMENTO,SACRAMENTO,2,1,3,1,10,F,0,1
100315,RIVERSIDE,RIVERSIDE,6,1,1,1,11,F,1,0
100316,KERN,UNINCORPORATED,3,1,8,1,11,F,0,1
100317,KERN,UNINCORPORATED,7,1,3,1,12,F,1,1
100318,SAN DIEGO,IMPERIAL BEACH,6,1,3,1,10,F,0,0
100319,KERN,UNINCORPORATED,4,1,8,1,11,F,0,0
100320,VENTURA,PORT HUENEME,7,1,1,1,11,F,0,1
100321,SHASTA,UNINCORPORATED,7,1,1,1,11,F,0,0
100322,SAN LUIS OBISPO,UNINCORPORATED,7,1,8,1,12,F,0,1
100323,MENDOCINO,UNINCORPORATED,7,1,1,1,11,F,1,1
100324,MENDOCINO,UNINCORPORATED,1,1,1,0,11,F,0,0
100325,KERN,UNINCORPORATED,1,1,8,1,12,F,1,1
100326,FRESNO,FRESNO,6,1,8,1,5,F,1,0
100327,LOS ANGELES,SIGNAL HILL,4,1,7,0,7,F,1,1
100328,SAN LUIS OBISPO,PASO ROBLES,1,1,8,0,11,F,1,1
100329,HUMBOLDT,UNINCORPORATED,7,1,3,1,12,F,0,0
100330,MADERA,UNINCORPORATED,7,1,8,1,11,F,1,0
100331,FRESNO,UNINCORPORATED,6,1,8,1,12,F,1,0
100332,LAKE,UNINCORPORATED,7,1,8,1,9,F,0,1
100333,STANISLAUS,HUGHSON,6,1,3,1,11,F,0,1
100334,SONOMA,UNINCORPORATED,5,0,8,1,1,F,0,0
100335,EL DORADO,UNINCORPORATED,1,1,1,0,1,F,1,0
100336,RIVERSIDE,PERRIS,6,0,1,0,2,F,1,1
100337,ORANGE,LA PALMA,4,0,7,0,1,F,1,0
100338,FRESNO,UNINCORPORATED,1,0,1,1,2,F,0,0
100339,SAN DIEGO,SAN DIEGO,5,0,3,0,1,F,1,1
100340,SHASTA,REDDING,7,0,1,1,1,F,1,0
100341,SHASTA,UNINCORPORATED,4,0,8,1,1,F,0,0
100342,SOLANO,FAIRFIELD,3,0,3,1,1,F,0,1
100343,SACRAMENTO,SACRAMENTO,2,0,1,1,2,F,0,0
100344,LOS ANGELES,POMONA,5,0,3,0,1,F,0,1
100345,PLACER,UNINCORPORATED,4,0,3,0,2,F,1,0
100346,LOS ANGELES,NORWALK,2,0,3,1,1,F,0,1
100347,MADERA,UNINCORPORATED,3,0,8,1,1,F,0,1
100348,SOLANO,FAIRFIELD,4,0,3,0,1,F,0,1
100349,HUMBOLDT,UNINCORPORATED,2,0,8,1,2,F,1,1
100350,PLUMAS,UNINCORPORATED,5,0,3,0,2,F,0,1
100351,BUTTE,UNINCORPORATED,4,0,3,0,2,F,0,1
100352,LOS ANGELES,LONG BEACH,2,0,3,1,1,F,0,0
100353,MONTEREY,UNINCORPORATED,1,0,8,0,1,F,0,1
100354,MONTEREY,UNINCORPORATED,6,0,3,0,2,F,0,1
100355,SHASTA,UNINCORPORATED,4,0,3,0,2,F,1,0
100356,ORANGE,ORANGE,2,0,3,1,1,F,0,1
100357,KERN,UNINCORPORATED,2,0,8,1,2,F,0,0
100358,SAN JOAQUIN,UNINCORPORATED,7,1,1,1,2,F,0,0
100359,SAN JOAQUIN,UNINCORPORATED,3,0,1,1,2,F,0,1
100360,SACRAMENTO,SACRAMENTO,2,0,3,1,2,F,0,1
100361,INYO,UNINCORPORATED,5,1,1,1,2,F,1,1
100362,NEVADA,UNINCORPORATED,1,0,8,1,2,F,0,0
100363,SAN DIEGO,SAN DIEGO,7,0,8,0,2,F,0,1
100364,ORANGE,SEAL BEACH,4,0,8,1,2,F,0,0
100365,NAPA,UNINCORPORATED,2,0,1,1,2,F,0,0
100366,BUTTE,UNINCORPORATED,3,0,8,1,2,F,0,0
100367,SHASTA,REDDING,3,0,8,1,2,F,1,1
100368,NEVADA,UNINCORPORATED,7,0,8,1,2,F,0,1
100369,RIVERSIDE,MORENO VALLEY,4,0,12,1,2,F,0,0
100370,MARIPOSA,UNINCORPORATED,2,1,3,0,2,F,1,1
100371,KERN,UNINCORPORATED,7,0,8,1,2,F,1,1
100372,KERN,UNINCORPORATED,6,0,8,1,2,F,1,0
100373,STANISLAUS,UNINCORPORATED,2,0,3,0,2,F,0,1
100374,SAN DIEGO,LA MESA,6,0,1,1,2,F,0,0
100375,KERN,UNINCORPORATED,6,0,1,0,2,F,1,1
100376,KERN,UNINCORPORATED,5,0,8,0,2,F,1,1
100377,ORANGE,LAKE FOREST,2,0,3,1,2,F,0,0
100378,SAN DIEGO,EL CAJON,4,0,8,0,2,F,1,1
100379,IMPERIAL,UNINCORPORATED,3,0,1,1,2,F,0,0
100380,CONTRA COSTA,DANVILLE,5,0,8,0,2,F,0,0
100381,SAN BERNARDINO,COLTON,3,0,3,1,2,F,0,1
100382,MODOC,UNINCORPORATED,3,0,8,1,2,F,1,1
100383,TEHAMA,UNINCORPORATED,2,1,1,0,2,F,1,0
100384,BUTTE,CHICO,7,0,3,0,3,F,0,1
100385,KERN,UNINCORPORATED,4,0,8,1,2,F,1,1
100386,LOS ANGELES,PASADENA,7,0,1,1,2,F,0,0
100387,MADERA,CHOWCHILLA,7,0,1,0,1,F,0,0
100388,SAN BERNARDINO,CHINO,5,0,3,0,3,F,1,0
100389,SOLANO,VALLEJO,6,1,3,1,2,F,1,0
100390,RIVERSIDE,PALM SPRINGS,5,1,7,1,2,F,0,0
100391,KERN,BAKERSFIELD,1,1,1,1,2,F,0,0
100392,ORANGE,FOUNTAIN VALLEY,5,0,3,1,3,F,0,1
100393,MONTEREY,MONTEREY,7,0,1,0,3,F,0,0
100394,MONTEREY,UNINCORPORATED,5,0,8,1,2,F,0,0
100395,AMADOR,UNINCORPORATED,6,0,1,0,3,F,0,0
100396,KERN,UNINCORPORATED,5,0,3,1,3,F,0,1
100397,KERN,BAKERSFIELD,5,0,8,0,3,F,0,1
100398,LOS ANGELES,SANTA CLARITA,7,0,1,1,3,F,0,1
100399,ORANGE,ANAHEIM,5,0,3,0,3,F,0,1
100400,SAN JOAQUIN,LODI,5,0,8,1,3,F,1,1
100401,SAN JOAQUIN,UNINCORPORATED,6,0,6,1,3,F,1,0
100402,MARIPOSA,UNINCORPORATED,6,0,3,1,3,F,1,1
100403,CONTRA COSTA,CONCORD,7,0,1,1,3,F,0,0
100404,BUTTE,UNINCORPORATED,5,0,8,1,3,F,0,1
100405,VENTURA,UNINCORPORATED,7,0,8,1,3,F,0,1
100406,TULARE,UNINCORPORATED,5,0,8,0,3,F,1,1
100407,STANISLAUS,UNINCORPORATED,4,0,8,0,3,F,0,0
100408,EL DORADO,UNINCORPORATED,5,0,1,1,3,F,0,0
100409,LAKE,UNINCORPORATED,7,1,1,1,1,F,1,0
100410,SAN JOAQUIN,UNINCORPORATED,3,0,8,0,3,F,1,0
100411,KERN,UNINCORPORATED,7,0,8,1,1,F,1,0
100412,SAN LUIS OBISPO,UNINCORPORATED,1,0,8,1,1,F,0,1
100413,SAN MATEO,UNINCORPORATED,4,0,8,0,1,F,0,0
